series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
31043,Boku dake ga Inai Machi,TV,12,0,12,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31964,Boku no Hero Academia,TV,13,0,13,0000-00-00,2018-11-04,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33486,Boku no Hero Academia 2nd Season,TV,25,0,25,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36456,Boku no Hero Academia 3rd Season,TV,25,0,25,0000-00-00,2018-11-13,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38408,Boku no Hero Academia 4th Season,TV,25,0,25,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41587,Boku no Hero Academia 5th Season,TV,25,0,19,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
39565,Boku no Hero Academia the Movie 2: Heroes:Rising,Movie,1,0,1,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37828,Bokura no Nanokakan Sensou,Movie,1,0,1,0000-00-00,2021-01-22,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37451,Boogiepop wa Warawanai (2019),TV,18,0,18,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34566,Boruto: Naruto Next Generations,TV,0,0,41,0000-00-00,0000-00-00,,3,,0.00,Dropped, #pq tiveram q fazer essa porra?,0,,LOW,,0,0,1,default,0
28755,Boruto: Naruto the Movie,Movie,1,0,1,0000-00-00,0000-00-00,,3,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31478,Bungou Stray Dogs,TV,12,0,12,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32867,Bungou Stray Dogs 2nd Season,TV,12,0,12,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38003,Bungou Stray Dogs 3rd Season,TV,12,0,3,0000-00-00,0000-00-00,,4,,0.00,Dropped, #edgelord pra kct #puta anime pegada murcha #cheio de diálogos forçados,0,,LOW,,0,0,1,default,0
37435,Carole & Tuesday,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
10800,Chihayafuru,TV,25,0,4,2021-06-30,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
